"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSAIP01","ASSDEM01","ASSDEM02","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","CNGREP02","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_2_N","PR_2_Y","PR_32_N","PR_32_Y","PR_33_N","PR_33_Y","PR_34_N","PR_34_Y","PR_35_N","PR_35_Y","PR_36_N","PR_36_Y","PR_3_N","PR_3_Y","PR_4_N","PR_4_Y","PR_5_N","PR_5_Y","PR_6_N","PR_6_Y","SENDEM01","SENDEM02","SENREP01","SENREP02","USPDEM01","USPREP01","USSDEM01","USSREP01"
"38","7638","17","11","11","2","855","0","0","0","0","0","0","0","0","0","671","0","0","0","0","0","0","0","0","0","0","0","0","452","0","134","0","442","0","0","166","0","4","492","14","5","3","141","152","452","183","428","316","287","249","324","127","456","146","450","124","491","119","478","225","375","238","359","441","0","166","0","454","143","474","131"
"38","7639","17","11","11","2","1064","0","0","0","0","0","0","0","0","0","816","0","0","0","0","0","0","0","0","0","0","0","0","610","0","127","0","598","0","0","162","0","12","663","15","12","6","97","201","544","261","493","459","288","315","402","188","531","206","535","80","685","154","601","305","440","270","474","586","0","155","0","622","130","621","127"
"38","7641","17","11","11","2","1048","0","0","0","0","0","0","0","0","0","859","0","0","0","0","0","0","0","0","0","0","0","0","622","0","157","0","614","0","0","189","0","7","681","19","4","2","130","238","554","330","469","552","230","327","431","203","584","146","644","105","701","179","619","392","400","290","491","605","0","186","0","637","161","644","159"
"38","7642","17","11","11","2","986","0","0","0","0","0","0","0","0","0","829","0","0","0","0","0","0","0","0","0","0","0","0","593","0","157","0","577","0","0","198","0","8","637","15","8","1","146","213","536","324","436","520","226","261","452","196","521","137","611","80","695","176","581","347","395","280","450","577","0","191","0","608","165","611","162"
"38","7643","17","11","11","2","833","0","0","0","0","0","0","0","0","0","693","0","0","0","0","0","0","0","0","0","0","0","0","494","0","123","0","517","0","0","145","0","4","567","8","7","1","94","196","437","274","367","501","133","253","348","186","436","126","511","54","580","159","481","335","294","254","364","486","0","152","0","537","119","537","120"
"38","7644","17","11","11","2","733","0","0","0","0","0","0","0","0","0","515","0","0","0","0","0","0","0","0","0","0","0","0","351","0","104","0","356","0","0","115","0","5","385","5","7","2","99","116","346","140","333","243","225","198","249","94","371","135","335","102","376","83","381","152","313","170","291","340","0","120","0","363","102","368","99"
"38","7645","17","11","11","2","1034","0","0","0","0","0","0","0","0","0","587","0","0","0","0","0","0","0","0","0","0","0","0","391","0","115","0","398","0","0","131","0","7","416","15","1","11","121","106","433","101","437","215","322","241","281","72","455","211","314","114","425","90","453","121","413","188","340","376","0","138","0","379","123","382","132"
"38","7701","17","11","11","2","863","0","0","0","0","0","0","0","0","0","760","0","0","0","0","0","0","0","0","0","0","0","0","554","0","138","0","575","0","0","138","0","3","604","9","10","4","109","254","466","283","429","518","195","371","307","215","473","194","512","108","624","203","518","401","307","289","412","536","0","179","0","569","145","579","143"
"38","7702","17","11","11","2","1016","0","0","0","0","0","0","0","0","0","829","0","0","0","0","0","0","0","0","0","0","0","0","606","0","122","0","627","0","0","145","0","10","675","13","0","3","110","250","511","245","516","514","236","369","348","206","524","234","507","119","647","198","562","363","389","276","464","585","0","158","0","616","137","629","135"
"38","7703","17","11","11","2","1084","0","0","0","0","0","0","0","0","0","933","0","0","0","0","0","0","0","0","0","0","0","0","696","0","160","0","702","0","0","179","0","8","750","12","4","5","134","292","589","346","536","656","215","431","402","297","563","249","629","117","778","240","642","470","407","357","509","640","0","224","0","716","162","716","166"
"38","7704","17","11","11","2","967","0","0","0","0","0","0","0","0","0","840","0","0","0","0","0","0","0","0","0","0","0","0","575","0","161","0","619","0","0","162","0","13","672","11","6","2","116","265","509","314","458","613","165","388","345","256","503","205","571","119","668","229","554","430","338","321","425","544","0","213","0","613","161","621","159"
"38","7705","17","11","11","2","982","0","0","0","0","0","0","0","0","0","839","0","0","0","0","0","0","0","0","0","0","0","0","550","0","193","0","563","0","0","206","0","7","606","15","11","3","167","302","481","325","449","554","224","396","355","267","492","226","551","161","628","262","524","455","325","348","420","531","0","227","0","560","202","569","197"
"38","7706","17","11","11","2","923","0","0","0","0","0","0","0","0","0","789","0","0","0","0","0","0","0","0","0","0","0","0","588","0","137","0","583","0","0","152","0","7","622","15","8","6","108","236","505","272","472","538","200","364","337","230","491","230","505","116","634","192","552","369","363","292","431","552","0","180","0","600","145","600","148"
"38","7707","17","11","11","2","1154","0","0","0","0","0","0","0","0","0","1011","0","0","0","0","0","0","0","0","0","0","0","0","685","0","249","0","699","0","0","267","0","6","760","17","8","3","193","364","589","381","572","709","222","474","449","321","604","248","690","148","805","277","682","525","418","432","488","647","0","300","0","703","237","714","242"
"38","7708","17","11","11","2","875","0","0","0","0","0","0","0","0","0","741","0","0","0","0","0","0","0","0","0","0","0","0","444","0","236","0","464","0","0","230","0","10","503","14","11","3","177","310","387","356","334","605","98","332","341","261","402","126","573","168","532","274","420","447","247","377","303","418","0","264","0","488","218","486","219"
"38","7709","17","11","11","2","1082","0","0","0","0","0","0","0","0","0","914","0","0","0","0","0","0","0","0","0","0","0","0","610","0","221","0","627","0","0","230","0","10","673","21","5","1","174","294","562","393","464","698","152","403","409","312","529","209","657","180","678","273","589","520","321","382","464","561","0","283","0","632","217","637","220"
"38","7711","17","11","11","2","1246","0","0","0","0","0","0","0","0","0","1094","0","0","0","0","0","0","0","0","0","0","0","0","869","0","134","0","882","0","0","148","0","2","936","16","6","4","117","292","741","324","696","672","339","569","411","261","746","347","665","108","930","231","798","487","530","356","639","810","0","184","0","899","132","909","124"
"38","7712","17","11","11","2","727","0","0","0","0","0","0","0","0","0","611","0","0","0","0","0","0","0","0","0","0","0","0","404","0","132","0","419","0","0","145","0","7","435","5","1","0","141","218","352","251","319","433","149","254","295","174","374","146","428","114","457","188","381","313","250","275","281","385","0","159","0","414","148","417","152"
"38","7713","17","11","11","2","725","0","0","0","0","0","0","0","0","0","624","0","0","0","0","0","0","0","0","0","0","0","0","418","0","139","0","424","0","0","162","0","11","454","10","4","2","114","223","373","259","335","468","117","324","243","192","388","155","436","123","466","205","383","353","231","263","316","428","0","148","0","440","143","435","150"
"38","7714","17","11","11","2","882","0","0","0","0","0","0","0","0","0","768","0","0","0","0","0","0","0","0","0","0","0","0","561","0","155","0","551","0","0","169","0","9","584","5","2","4","140","259","470","300","435","550","169","362","326","246","456","185","535","128","614","220","520","408","314","308","403","518","0","192","0","563","158","575","157"
